 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    4.9919    7.0000   13.3766   13.3766    5.5161    0.0835    5.1006    0.0000  1.3377E+01      4.5648  4.3525E-11
    5.0061    7.0000   13.2428   13.2428    5.5119    0.0792    5.1016    0.0000  1.3243E+01      4.5622  4.4769E-11
    5.0204    7.0000   13.1104   13.1104    5.5076    0.0743    5.1030    0.0000  1.3110E+01      4.5594  4.6183E-11
    5.0348    7.0000   12.9793   12.9793    5.5032    0.0687    5.1047    0.0000  1.2979E+01      4.5566  4.7800E-11
    5.0492    7.0000   12.8495   12.8495    5.4988    0.0622    5.1068    0.0000  1.2850E+01      4.5536  4.9668E-11
    5.0637    7.0000   12.7210   12.7210    5.4943    0.0548    5.1094    0.0000  1.2721E+01      4.5505  5.1842E-11
    5.0783    7.0000   12.5938   12.5938    5.4897    0.0462    5.1126    0.0000  1.2594E+01      4.5473  5.4395E-11
    5.0930    7.0000   12.4679   12.4679    5.4851    0.0363    5.1164    0.0000  1.2468E+01      4.5440  5.7425E-11
    5.1031    7.0000   12.3827   12.3827    5.4820    0.0287    5.1194    0.0000  1.2383E+01      4.5417  5.9834E-11
    5.1031    7.0000   12.3823   12.3823    5.4820    0.0286    5.1195    0.0000  1.2382E+01      4.5416  5.9845E-11
    5.1031    8.0000   12.3823   12.3823    5.4820    0.0286    5.1195    8.7697  1.0000E-10      4.5416  3.0329E-10
    5.1040    8.0000   12.3823   12.3748    5.4874    0.0299    5.1202    8.7918  1.0000E-10      4.5416  3.0500E-10
    5.1049    8.0000   12.3823   12.3672    5.4929    0.0312    5.1209    8.8139  1.0000E-10      4.5416  3.0675E-10
    5.1058    8.0000   12.3823   12.3595    5.4983    0.0325    5.1216    8.8361  1.0000E-10      4.5416  3.0854E-10
    5.1067    8.0000   12.3823   12.3518    5.5038    0.0338    5.1223    8.8583  1.0000E-10      4.5416  3.1037E-10
    5.1075    8.0000   12.3823   12.3439    5.5093    0.0351    5.1230    8.8806  1.0000E-10      4.5416  3.1223E-10
    5.1084    8.0000   12.3823   12.3360    5.5147    0.0365    5.1237    8.9029  1.0000E-10      4.5416  3.1414E-10
    5.1092    8.0000   12.3823   12.3281    5.5202    0.0378    5.1244    8.9253  1.0000E-10      4.5416  3.1608E-10
    5.1101    8.0000   12.3823   12.3201    5.5256    0.0392    5.1251    8.9478  1.0000E-10      4.5416  3.1807E-10
    5.1109    8.0000   12.3823   12.3120    5.5311    0.0406    5.1258    8.9703  1.0000E-10      4.5416  3.2010E-10
    5.1117    8.0000   12.3823   12.3038    5.5365    0.0419    5.1264    8.9928  1.0000E-10      4.5416  3.2218E-10
    5.1126    8.0000   12.3823   12.2956    5.5420    0.0433    5.1271    9.0155  1.0000E-10      4.5416  3.2430E-10
    5.1134    8.0000   12.3823   12.2872    5.5474    0.0447    5.1278    9.0381  1.0000E-10      4.5416  3.2647E-10
    5.1142    8.0000   12.3823   12.2789    5.5529    0.0462    5.1284    9.0609  1.0000E-10      4.5416  3.2868E-10
    5.1150    8.0000   12.3823   12.2704    5.5584    0.0476    5.1291    9.0837  1.0000E-10      4.5416  3.3095E-10
    5.1157    8.0000   12.3823   12.2619    5.5638    0.0491    5.1297    9.1065  1.0000E-10      4.5416  3.3327E-10
    5.1165    8.0000   12.3823   12.2532    5.5693    0.0505    5.1303    9.1294  1.0000E-10      4.5416  3.3563E-10
    5.1173    8.0000   12.3823   12.2446    5.5747    0.0520    5.1309    9.1524  1.0000E-10      4.5416  3.3806E-10
    5.1180    8.0000   12.3823   12.2358    5.5802    0.0535    5.1315    9.1754  1.0000E-10      4.5416  3.4054E-10
    5.1188    8.0000   12.3823   12.2270    5.5856    0.0551    5.1322    9.1985  1.0000E-10      4.5416  3.4307E-10
    5.1195   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
    5.2195   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
    6.2195   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
   16.2195   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
